agency,price,location,link,bedrooms,bathrooms,area
Titanium,6.15 Crore,"Buch Executive Villas, Multan",https://www.zameen.com/Property/multan_buch_executive_villas_brand_new_luxury_modern_designer_house_available_for_sale_in_bhuch_villas-52107420-8627-1.html,5,6,17 Marla
,1.4 Crore,"Bukhari Villas, MA Jinnah Road",https://www.zameen.com/Property/ma_jinnah_road_bukhari_villas_5_marla_vip_double_storey_house_for_sale_on_investor_rate-52028869-15952-1.html,4,4,5 Marla
,1.65 Crore,"Garden Town, Multan",https://www.zameen.com/Property/multan_garden_town_8_5_marla_house-52064885-924-1.html,4,5,8.5 Marla
,2.47 Crore,"Askari 3, DHA Defence",https://www.zameen.com/Property/dha_defence_askari_3_villa_is_situated_at_most_prime_n_demanding_location_of_askari-3_most_nearby_masjid_park_commercial_and_main_gate-52283303-17156-1.html,4,5,11 Marla
,4.88 Crore,"Buch Executive Villas - Phase 2, Buch Executive Villas",https://www.zameen.com/Property/buch_executive_villas_buch_executive_villas_-_phase_2_13_marla_beautiful_house_for_sale_in_buch_executive_villas_multan-52277212-19720-1.html,5,6,13 Marla
,2.87 Crore,"Askari 3, DHA Defence",https://www.zameen.com/Property/dha_defence_askari_3_park_facing_most_ideal_and_lucrative_location_of_askari-3_plus_nearby_park_park_masjid_main_gate_commercial-52283298-17156-1.html,4,5,12 Marla
Titanium,1.88 Crore,"Buch Executive Villas, Multan",https://www.zameen.com/Property/multan_buch_executive_villas_5_22_marla_triple_storey_house_for_sale_buch_villas-51976566-8627-1.html,4,5,5 Marla
Titanium,3.5 Crore,"Royal Orchard, Multan Public School Road",https://www.zameen.com/Property/multan_public_school_road_royal_orchard_11_marla_corner_luxury_house_available_for_sale_at_royal_orchard_multan-51987322-9492-1.html,5,6,11 Marla
Titanium,1.28 Crore,"Buch Executive Villas, Multan",https://www.zameen.com/Property/multan_buch_executive_villas_4_marla_used_house_available_for_sale_at_buch_villas_multan-51976593-8627-1.html,3,4,5 Marla
Titanium,3.65 Crore,"Royal Orchard, Multan Public School Road",https://www.zameen.com/Property/multan_public_school_road_royal_orchard_10_marla_house_for_sale_royal_orchard_c_block-52260552-9492-1.html,5,6,10 Marla
